Analyst,Model,Player,ID,Pos,Team,Opp,Game,Kickoff,Proj,Median,Floor_p10,p25,p75,Ceiling_p90,StdDev,Injury,Status,Note,pass_yds,pass_tds,pass_int,rush_yds,rush_tds,rec,rec_yds,rec_tds,fumbles_lost,fg_made,fg_40plus,xp_made,sacks,ints,def_td,pts_allowed_exp,Generated
Robert Burke,Model_Burke v1,Corey Kiner,00-0040556,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,3.14,2.1,0.24,0.76,4.11,9.05,2.48,,,+0.4 with TreVeyon Henderson out,0.0,0.0,0.0,12.24,0.12,0.65,4.85,0.01,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Eli Raridon,,TE,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,2.73,1.48,0.0,0.0,4.21,7.31,3.12,,,,0.0,0.0,0.0,0.0,0.0,1.13,11.49,0.07,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Elijah Arroyo,00-0040739,TE,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,2.57,1.5,0.0,0.07,3.77,6.94,2.74,,,,0.0,0.0,0.0,0.0,0.0,0.92,12.06,0.1,0.08,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Kyle Williams,00-0040131,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,2.19,0.84,0.0,0.08,3.17,6.43,2.28,,,,0.0,0.0,0.0,0.4,0.0,0.59,10.95,0.08,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Eric Saubert,00-0033576,TE,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,2.17,1.44,0.0,0.11,2.89,6.1,2.05,,,,0.0,0.0,0.0,0.0,0.0,0.89,9.02,0.06,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Ricky White,,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,1.35,0.15,0.0,0.0,2.03,4.46,1.5,,,,0.0,0.0,0.0,0.0,0.0,0.48,6.04,0.04,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Efton Chism,00-0040563,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,1.35,0.19,0.0,0.0,2.06,4.44,1.53,,,,0.0,0.0,0.0,0.0,0.0,0.47,5.92,0.05,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Reggie Gilliam,,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,1.04,0.35,0.0,0.02,1.27,2.99,0.93,,,+0.1 with TreVeyon Henderson out,0.0,0.0,0.0,3.34,0.05,0.22,1.62,0.0,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Drew Lock,00-0035704,QB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,0.94,0.0,0.0,0.0,2.58,7.87,1.91,,,,10.16,0.12,0.01,0.67,0.0,0.0,0.0,0.0,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Tommy DeVito,00-0038476,QB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,0.52,0.0,0.0,0.0,2.16,7.45,1.6,,,,10.05,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,TreVeyon Henderson,00-0040734,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,OUT,OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2026-09-09 17:38 ET
